file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/Runner.java,Runner,main/1[java.lang.String[]],false,42,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getCrewMemberCapacity/0,false,30,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getDepartureTime/0,false,50,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getPassengers/0,false,54,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,"ScheduledFlight/5[int,flight.reservation.Airport,flight.reservation.Airport,flight.reservation.plane.Aircraft,java.util.Date]",true,17,3,1,1,0,1,0,5,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,addPassengers/1[java.util.List<flight.reservation.Passenger>],false,34,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getCapacity/0,false,42,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getCurrentPrice/0,false,58,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,removePassengers/1[java.util.List<flight.reservation.Passenger>],false,38,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,setCurrentPrice/1[double],false,62,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,"ScheduledFlight/6[int,flight.reservation.Airport,flight.reservation.Airport,flight.reservation.plane.Aircraft,java.util.Date,double]",true,23,3,0,0,0,1,0,6,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,false
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getAvailableCapacity/0,false,46,1,2,1,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,false
