file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/payment/PaymentStrategy.java,flight.reservation.payment.PaymentStrategy,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/plane/Helicopter.java,flight.reservation.plane.Helicopter,class,0,2,2,0,6,1,0,2,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,1,28,3,0,0,0,0,3,4,5,0,3,1,0,0,0,15,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/order/BookingObserver.java,flight.reservation.order.BookingObserver,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/order/CapacityMonitorObserver.java,flight.reservation.order.CapacityMonitorObserver,class,4,4,0,4,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,1,2,4,3,4,2,0,0,0,19,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerDrone.java,flight.reservation.plane.PassengerDrone,class,0,2,2,0,5,1,0,2,4,0.6666667,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,1,22,3,0,0,0,0,2,2,3,0,3,1,0,0,0,15,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/order/OrderValidationHandler.java,flight.reservation.order.OrderValidationHandler,class,3,8,5,3,4,1,3,1,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,1,0,0,1,0,0,1,0,0,0,0,0,12,3,0,1,0,0,0,0,1,0,1,1,0,0,0,11,1025,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Schedule.java,flight.reservation.flight.Schedule,class,2,3,1,2,13,1,0,12,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,31,2,1,5,0,1,0,0,3,0,4,2,0,0,1,17,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/payment/CreditCardPayment.java,flight.reservation.payment.CreditCardPayment,class,2,2,0,2,5,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,19,1,0,1,0,0,5,1,2,2,2,1,0,0,0,21,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerPlane.java,flight.reservation.plane.PassengerPlane,class,0,2,2,0,8,1,0,1,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,1,41,3,0,0,0,0,5,8,11,0,5,1,0,0,0,16,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/order/CustomerNoFlyHandler.java,flight.reservation.order.CustomerNoFlyHandler,class,4,5,1,4,2,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,17,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/order/BookingConfirmationObserver.java,flight.reservation.order.BookingConfirmationObserver,class,4,4,0,4,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/payment/CreditCard.java,flight.reservation.payment.CreditCard,class,1,3,2,1,7,1,0,5,0,0.56000006,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,1,26,2,0,0,0,0,1,2,6,0,5,0,0,0,0,16,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/order/FlightOrderBuilder.java,flight.reservation.order.FlightOrderBuilder,class,6,8,2,6,11,1,0,5,2,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,43,5,0,3,0,0,4,0,7,0,6,1,0,0,0,26,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/order/PassengerNoFlyHandler.java,flight.reservation.order.PassengerNoFlyHandler,class,4,5,1,4,2,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,1,0,0,0,1,1,0,0,1,20,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/Passenger.java,flight.reservation.Passenger,class,0,4,4,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/payment/Paypal.java,flight.reservation.payment.Paypal,class,0,0,0,0,1,1,0,1,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,7,0,0,0,0,0,4,0,1,0,1,0,0,0,0,8,1,0
