Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,initCreditCard,4,1,0
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,thenTheBookingShouldSucceed,13,1,0
Reservation-System-Starter,flight.reservation,CreditCardLimitReached,initCreditCard,4,1,0
Reservation-System-Starter,flight.reservation,CreditCardLimitReached,thenThePaymentAndBookingShouldNotSucceed,6,1,0
Reservation-System-Starter,flight.reservation,CreditCardNotValid,initCreditCard,3,1,0
Reservation-System-Starter,flight.reservation,CreditCardNotValid,thenTheBookingShouldNotSucceed,6,1,0
Reservation-System-Starter,flight.reservation,CreditCardValid,initCreditCard,4,1,0
Reservation-System-Starter,flight.reservation,CreditCardValid,thenTheBookingShouldSucceed,13,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,initSchedule,3,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheSizeOfTheScheduleShouldBeZero,3,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenSearchForAnUnknownElementShouldReturnNull,3,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenSearchForAnKnownElementShouldReturnNull,3,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenScheduleShouldYieldEmpty,4,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,scheduleOneFlight,7,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenScheduleShouldContainOneElement,3,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenScheduleShouldContainCorrectElement,5,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenSearchShouldReturnFlight,4,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenRemoveShouldYieldEmpty,4,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,initializeSchedule,9,2,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenScheduleShouldContainOneElement,3,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenAFlightShouldBeRemoved,4,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheCorrectFlightShouldBeRemoved,9,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheScheduleShouldContainTheAddedFlight,9,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheFlightShouldBeReturned,8,1,0
Reservation-System-Starter,flight.reservation,ScheduleTest,thenNullShouldBeReturned,4,1,0
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,thenTheSizeOfTheScheduleShouldBeZero,3,1,0
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,thenSearchForAnUnknownElementShouldReturnNull,3,1,0
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,thenSearchForAnKnownElementShouldReturnNull,3,1,0
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,thenScheduleShouldYieldEmpty,4,1,0
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,scheduleOneFlight,7,1,0
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,thenScheduleShouldContainOneElement,3,1,0
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,thenScheduleShouldContainCorrectElement,5,1,0
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,thenSearchShouldReturnFlight,4,1,0
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,thenRemoveShouldYieldEmpty,4,1,0
Reservation-System-Starter,flight.reservation,WhenAFlightIsScheduled,scheduleOneFlight,7,1,0
Reservation-System-Starter,flight.reservation,WhenAFlightIsScheduled,thenScheduleShouldContainOneElement,3,1,0
Reservation-System-Starter,flight.reservation,WhenAFlightIsScheduled,thenScheduleShouldContainCorrectElement,5,1,0
Reservation-System-Starter,flight.reservation,WhenAFlightIsScheduled,thenSearchShouldReturnFlight,4,1,0
Reservation-System-Starter,flight.reservation,WhenAFlightIsScheduled,thenRemoveShouldYieldEmpty,4,1,0
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,initializeSchedule,9,2,0
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenScheduleShouldContainOneElement,3,1,0
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenAFlightShouldBeRemoved,4,1,0
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheCorrectFlightShouldBeRemoved,9,1,0
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheScheduleShouldContainTheAddedFlight,9,1,0
